,Airline,Airline ID,Source Airport,Source Airport ID,Destination Airport,Destination Airport ID,Equipment,Original Airline,Src City,Dest City,Airline Name
59567,US,5265,LGA,3697,RIC,3608,ERD,US,New York,Richmond,Turkish Airlines
59568,US,5265,LGA,3697,ROA,4016,ERD,US,New York,Roanoke VA,Turkish Airlines
59569,US,5265,LGA,3697,SDF,4014,ERD,US,New York,Louisville,Turkish Airlines
59570,US,5265,LGA,3697,STL,3678,CR7,US,New York,St. Louis,Turkish Airlines
59571,US,5265,LGA,3697,TYS,3676,ERD,US,New York,Knoxville,Turkish Airlines
59572,US,5265,LGA,3697,XNA,4356,CR7,US,New York,Bentonville,Turkish Airlines
59573,US,5265,LGA,3697,YUL,146,ERD,US,New York,Montreal,Turkish Airlines
59574,US,5265,LGA,3697,YYZ,193,CR7,US,New York,Toronto,Turkish Airlines
59773,US,5265,MIA,3576,SFO,3469,763 757 738,US,Miami,San Francisco,Turkish Airlines
59967,US,5265,ORD,3830,SFO,3469,738,US,Chicago,San Francisco,Airnorth
60012,US,5265,PEK,3364,SFO,3469,773,US,Beijing,San Francisco,Air Mozambique
60116,US,5265,PHL,3752,SFO,3469,320 321,US,Philadelphia,San Francisco,President Airlines
60194,US,5265,PHX,3462,SFO,3469,320 321,US,Phoenix,San Francisco,President Airlines
60305,US,5265,SAL,1892,SFO,3469,319 320,US,San Salvador,San Francisco,Transavia France
60460,US,5265,TPE,2276,SFO,3469,77W,US,Taipei,San Francisco,President Airlines
60603,UX,90,JFK,3797,MAD,1229,332,UX,New York,Madrid,Transavia France
61699,VS,5347,ATL,3682,SFO,3469,763 739 757,VS,Atlanta,San Francisco,Tunisair
61744,VS,5347,JFK,3797,ATL,3682,752 319 738 757 M88,VS,New York,Atlanta,Tunisair
61745,VS,5347,JFK,3797,LHR,507,333 346 744,VS,New York,London,Tunisair
61746,VS,5347,JFK,3797,MSY,3861,CR9,VS,New York,New Orleans,Tunisair
61786,VS,5347,LHR,507,SFO,3469,744,VS,London,San Francisco,Tunisair
61985,VX,5331,AUS,3673,SFO,3469,319,VX,Austin,San Francisco,Air Cal
61987,VX,5331,BOS,3448,SFO,3469,320,VX,Boston,San Francisco,Scoot
61989,VX,5331,CUN,1852,SFO,3469,320,VX,Cancun,San Francisco,Scoot
61990,VX,5331,DCA,3520,SFO,3469,320,VX,Washington,San Francisco,Scoot
61992,VX,5331,DFW,3670,SFO,3469,319 320,VX,Dallas-Fort Worth,San Francisco,Scoot
61994,VX,5331,EWR,3494,SFO,3469,320,VX,Newark,San Francisco,Scoot
61996,VX,5331,FLL,3533,SFO,3469,320,VX,Fort Lauderdale,San Francisco,Scoot
61998,VX,5331,IAD,3714,SFO,3469,319 320,VX,Washington,San Francisco,Scoot
61999,VX,5331,JFK,3797,LAS,3877,320,VX,New York,Las Vegas,Scoot
62000,VX,5331,JFK,3797,LAX,3484,320,VX,New York,Los Angeles,Scoot
62001,VX,5331,JFK,3797,SFO,3469,320,VX,New York,San Francisco,Scoot
62004,VX,5331,LAS,3877,SFO,3469,320 319,VX,Las Vegas,San Francisco,Scoot
62017,VX,5331,LAX,3484,SFO,3469,320 319,VX,Los Angeles,San Francisco,easyJet
62020,VX,5331,MCO,3878,SFO,3469,320,VX,Orlando,San Francisco,United Feeder Service
62022,VX,5331,ORD,3830,SFO,3469,320,VX,Chicago,San Francisco,United Feeder Service
62023,VX,5331,PDX,3720,SFO,3469,320,VX,Portland,San Francisco,easyJet
62025,VX,5331,PHL,3752,SFO,3469,319,VX,Philadelphia,San Francisco,easyJet
62026,VX,5331,PVR,1836,SFO,3469,320,VX,Puerto Vallarta,San Francisco,United Feeder Service
62027,VX,5331,SAN,3731,SFO,3469,319 320,VX,San Diego,San Francisco,easyJet
62029,VX,5331,SEA,3577,SFO,3469,319 320,VX,Seattle,San Francisco,easyJet
62050,VX,5331,SJD,1840,SFO,3469,320,VX,San Jose Del Cabo,San Francisco,United Feeder Service
62537,W3,20976,JFK,3797,LOS,273,345,W3,New York,Lagos,easyJet
63479,WN,4547,ATL,3682,SFO,3469,73W,WN,Atlanta,San Francisco,easyJet
63744,WN,4547,DEN,3751,SFO,3469,73W,WN,Denver,San Francisco,United Feeder Service
63959,WN,4547,LAS,3877,SFO,3469,733 73W 73H 73C,WN,Las Vegas,San Francisco,easyJet
63985,WN,4547,LAX,3484,SFO,3469,73W 73C 733,WN,Los Angeles,San Francisco,easyJet
63994,WN,4547,LGA,3697,ATL,3682,73W,WN,New York,Atlanta,United Feeder Service
63995,WN,4547,LGA,3697,BNA,3690,73W,WN,New York,Nashville,easyJet
63996,WN,4547,LGA,3697,CAK,4112,73W,WN,New York,Akron,United Feeder Service
63997,WN,4547,LGA,3697,DEN,3751,73W,WN,New York,Denver,easyJet
63998,WN,4547,LGA,3697,HOU,3566,73W,WN,New York,Houston,United Feeder Service
63999,WN,4547,LGA,3697,MDW,3747,73H 73W,WN,New York,Chicago,easyJet
64000,WN,4547,LGA,3697,MKE,3717,73W,WN,New York,Milwaukee,United Feeder Service
64001,WN,4547,LGA,3697,STL,3678,73W,WN,New York,St. Louis,easyJet
64131,WN,4547,MDW,3747,SFO,3469,73W,WN,Chicago,San Francisco,easyJet
64164,WN,4547,MKE,3717,SFO,3469,73W,WN,Milwaukee,San Francisco,United Feeder Service
64303,WN,4547,PHX,3462,SFO,3469,73W 733,WN,Phoenix,San Francisco,Ural Airlines
64386,WN,4547,SAN,3731,SFO,3469,73W 73C 733,WN,San Diego,San Francisco,Ural Airlines
64478,WN,4547,SNA,3867,SFO,3469,73W,WN,Santa Ana,San Francisco,Ural Airlines
64593,WS,5416,JFK,3797,YUL,146,ERJ CRJ,WS,New York,Montreal,United Airlines
64594,WS,5416,JFK,3797,YYC,178,736,WS,New York,Calgary,United Airlines
64595,WS,5416,JFK,3797,YYZ,193,CRJ CR7 ERJ,WS,New York,Toronto,United Airlines
64611,WS,5416,LGA,3697,ATL,3682,M88 757 320 738 739 73W,WS,New York,Atlanta,United Airlines
64612,WS,5416,LGA,3697,MSY,3861,319 CR9,WS,New York,New Orleans,United Airlines
64613,WS,5416,LGA,3697,YHZ,73,CR7,WS,New York,Halifax,United Airlines
64614,WS,5416,LGA,3697,YUL,146,ERJ CR7,WS,New York,Montreal,United Airlines
64615,WS,5416,LGA,3697,YYZ,193,736 73W,WS,New York,Toronto,United Airlines
64764,WS,5416,YVR,156,SFO,3469,73W,WS,Vancouver,San Francisco,United Airlines
64816,WS,5416,YYC,178,SFO,3469,73W,WS,Calgary,San Francisco,United Airlines
65445,XL,1034,JFK,3797,GYE,2673,763,XL,New York,Guayaquil,United Airlines
